n,date,value,EAvalue
126,1580031537000,14122.90625,60.24902343800022
127,1580117937000,14160.213867188,37.30761718800022
128,1580204337000,14226.857421875,66.64355468699978
129,1580290737000,14297.680664062,70.82324218699978
130,1580377137000,14364.979492188,67.29882812600044
131,1580463537000,14453.19921875,88.21972656199978
132,1580549937000,14540.55859375,87.359375
133,1580636337000,14626.836914062,86.27832031199978
134,1580722737000,14703.8515625,77.01464843800022
135,1580809137000,14816.1875,112.3359375
136,1580895537000,14919.259765625,103.072265625
137,1580981937000,15022.72265625,103.462890625
138,1581068337000,15123.04296875,100.3203125
139,1581154737000,15215.591796875,92.548828125
140,1581241137000,15288.560546875,72.96875
141,1581327537000,15356.189453125,67.62890625
142,1581413937000,15457.990234375,101.80078125
143,1581500337000,15548.6015625,90.611328125
144,1581586737000,15634.858398438,86.25683593800022
